uid,date,traj_site,traj_arr
306,2013-01-12,"(475, 252, 295)","(10, 3, 6)"
306,2013-01-13,"(295, 265)","(6, 3)"
306,2013-01-14,"(252, 244, 268, 301, 244, 265, 268, 301, 309, 394, 443, 472, 480, 503, 551, 533, 541, 545, 609, 604, 629, 673, 739)","(3, 6, 3, 6, 7, 9, 10, 11, 19, 15, 44)"
306,2013-01-15,"(874, 699, 1092, 1091, 1092)","(40, 73, 70)"
306,2013-01-16,"(1092,)","(70,)"
306,2013-01-17,"(1092,)","(70,)"
306,2013-01-18,"(1092,)","(70,)"
306,2013-01-19,"(1092,)","(70,)"
306,2013-01-20,"(1092,)","(70,)"
308,2013-01-07,"(168, 149, 168)","(3,)"
308,2013-01-08,"(149, 174)","(3,)"
308,2013-01-09,"(168,)","(3,)"
308,2013-01-10,"(77, 168, 144, 127, 144, 168)","(4, 3)"
308,2013-01-11,"(168, 144, 168)","(3,)"
308,2013-01-13,"(168, 205, 174, 168)","(3,)"
308,2013-01-14,"(168, 127)","(3,)"
308,2013-01-15,"(168,)","(3,)"
308,2013-01-16,"(77, 168)","(4, 3)"
308,2013-01-17,"(168,)","(3,)"
308,2013-01-18,"(168,)","(3,)"
308,2013-01-19,"(168,)","(3,)"
308,2013-01-20,"(168,)","(3,)"
318,2013-01-08,"(1466, 1467, 1461)","(107,)"
318,2013-01-09,"(1466, 1461)","(107,)"
318,2013-01-10,"(1461, 1464)","(107,)"
318,2013-01-11,"(201,)","(4,)"
318,2013-01-12,"(201, 297, 371)","(4, 6, 7)"
318,2013-01-14,"(201, 237, 201, 386)","(4, 3, 4, 7)"
318,2013-01-15,"(446, 447, 433, 447)","(9, 10, 7, 10)"
318,2013-01-16,"(447, 433, 460, 433, 447, 435)","(10, 7, 9, 7, 10, 7)"
318,2013-01-18,"(426, 431)","(8,)"
318,2013-01-19,"(447, 435, 446)","(10, 7, 9)"
318,2013-01-20,"(447,)","(10,)"
319,2013-01-07,"(433, 419, 433, 419, 433)","(7,)"
319,2013-01-08,"(433,)","(7,)"
319,2013-01-09,"(433,)","(7,)"
319,2013-01-10,"(433, 402, 77, 113, 32, 94, 81, 40, 314, 367, 315, 322, 307, 312, 173, 117, 127, 149, 142, 160, 195, 184, 433)","(7, 4, 2, 4, 2, 4, 5, 8, 5, 1, 3, 1, 3, 7)"
319,2013-01-11,"(433,)","(7,)"
319,2013-01-12,"(433,)","(7,)"
319,2013-01-13,"(389, 433)","(8, 7)"
319,2013-01-14,"(433,)","(7,)"
319,2013-01-15,"(433,)","(7,)"
319,2013-01-16,"(433,)","(7,)"
319,2013-01-17,"(433, 371, 367, 333, 367, 394, 433)","(7, 8, 7, 8, 7)"
319,2013-01-18,"(77, 94, 433)","(4, 7)"
319,2013-01-19,"(433,)","(7,)"
319,2013-01-20,"(433,)","(7,)"
320,2013-01-07,"(126,)","(3,)"
320,2013-01-09,"(330, 126)","(5, 3)"
320,2013-01-10,"(323,)","(5,)"
320,2013-01-11,"(318, 330, 126)","(5, 3)"
320,2013-01-12,"(318, 322, 323, 318, 330, 318, 322, 126, 146, 126, 146, 126)","(5, 3)"
320,2013-01-13,"(126, 146, 126)","(3,)"
320,2013-01-14,"(318, 126)","(5, 3)"
320,2013-01-15,"(89, 126)","(2, 3)"
320,2013-01-16,"(126,)","(3,)"
320,2013-01-17,"(331,)","(5,)"
320,2013-01-18,"(330, 101, 126)","(5, 4, 3)"
320,2013-01-19,"(126,)","(3,)"
320,2013-01-20,"(126,)","(3,)"
321,2013-01-08,"(210, 189, 210)","(3, 1, 3)"
321,2013-01-09,"(210, 195, 210)","(3, 1, 3)"
321,2013-01-10,"(180, 210)","(1, 3)"
321,2013-01-11,"(195, 210)","(1, 3)"
321,2013-01-12,"(181, 195, 368)","(3, 1, 8)"
321,2013-01-13,"(396, 388, 396, 335, 317, 189, 195)","(8, 6, 1)"
321,2013-01-14,"(195, 210)","(1, 3)"
321,2013-01-15,"(195,)","(1,)"
321,2013-01-17,"(195, 210, 181, 195)","(1, 3, 1)"
321,2013-01-18,"(210, 195, 181, 210)","(3, 1, 3)"
321,2013-01-19,"(195, 396)","(1, 8)"
321,2013-01-20,"(531, 480, 302, 255, 190, 195, 210)","(12, 10, 6, 3, 1, 3)"
324,2013-01-07,"(389, 401, 389)","(8,)"
324,2013-01-08,"(396, 389)","(8,)"
324,2013-01-09,"(392, 401, 392, 396, 389, 392)","(8,)"
324,2013-01-10,"(389, 210, 313, 389, 392, 389, 396, 389)","(8, 3, 6, 8)"
324,2013-01-11,"(396, 392, 403, 389)","(8,)"
324,2013-01-12,"(361, 389)","(7, 8)"
324,2013-01-13,"(389, 401, 389, 392, 389)","(8,)"
324,2013-01-14,"(389, 227)","(8, 4)"
324,2013-01-15,"(389, 403, 392, 389)","(8,)"
324,2013-01-16,"(389, 392, 389)","(8,)"
324,2013-01-17,"(389, 392, 389, 392, 396, 392, 389)","(8,)"
324,2013-01-18,"(389,)","(8,)"
324,2013-01-19,"(392, 391, 389)","(8, 7, 8)"
324,2013-01-20,"(389,)","(8,)"
329,2013-01-07,"(386, 311, 267)","(7, 6, 4)"
329,2013-01-08,"(12, 50, 143)","(2, 1)"
329,2013-01-09,"(394, 333, 114, 105)","(7, 3, 4)"
329,2013-01-10,"(175, 227, 257, 46)","(4, 2)"
329,2013-01-11,"(193, 91)","(4,)"
329,2013-01-12,"(56, 15, 55)","(2, 1)"
329,2013-01-13,"(394,)","(7,)"
329,2013-01-14,"(371, 333, 12, 232, 202, 394)","(7, 2, 3, 4, 7)"
329,2013-01-15,"(394, 40, 77, 47, 227)","(7, 4)"
329,2013-01-16,"(371, 48, 33, 40, 214, 257, 91, 116, 31, 173, 394)","(7, 2, 4, 1, 2, 1, 7)"
329,2013-01-17,"(387, 390, 394, 386, 394)","(7,)"
329,2013-01-18,"(394, 386, 292, 201, 252, 188, 201, 177, 252, 12, 14, 40, 232, 170, 201, 177, 201, 177, 319, 386, 394)","(7, 5, 4, 3, 4, 3, 2, 4, 3, 4, 6, 7)"
329,2013-01-19,"(382, 394, 10, 5, 10, 393, 394)","(7, 2, 7)"
337,2013-01-07,"(111,)","(1,)"
337,2013-01-08,"(102,)","(3,)"
337,2013-01-09,"(165, 32)","(4, 2)"
337,2013-01-10,"(179, 165, 179, 25, 32, 127)","(4, 2, 3)"
337,2013-01-11,"(87, 138, 121, 40)","(2, 1, 4)"
337,2013-01-12,"(734,)","(44,)"
337,2013-01-13,"(503, 111)","(11, 1)"
337,2013-01-14,"(124, 165, 179)","(4,)"
337,2013-01-15,"(165, 102)","(4, 3)"
337,2013-01-16,"(111, 165, 179, 185, 140, 165, 102, 32, 230)","(1, 4, 3, 2, 4)"
337,2013-01-17,"(165, 130, 6, 5, 10, 41)","(4, 2)"
337,2013-01-18,"(102,)","(3,)"
337,2013-01-19,"(102,)","(3,)"
337,2013-01-20,"(102,)","(3,)"
339,2013-01-07,"(345, 357)","(5,)"
339,2013-01-08,"(357,)","(5,)"
339,2013-01-09,"(345,)","(5,)"
339,2013-01-10,"(331, 324, 357)","(5, 6, 5)"
339,2013-01-11,"(249, 357)","(4, 5)"
339,2013-01-12,"(318,)","(5,)"
339,2013-01-14,"(318, 357)","(5,)"
339,2013-01-15,"(318, 345, 357)","(5,)"
339,2013-01-16,"(343, 142, 324, 318, 345)","(6, 3, 6, 5)"
339,2013-01-17,"(324, 318, 324, 331, 324)","(6, 5, 6, 5, 6)"
339,2013-01-18,"(357,)","(5,)"
339,2013-01-19,"(331, 318, 324, 357)","(5, 6, 5)"
339,2013-01-20,"(357,)","(5,)"
346,2013-01-07,"(352, 420, 431, 420, 355, 371, 352)","(6, 8, 6, 7, 6)"
346,2013-01-08,"(352, 426, 431, 343, 352)","(6, 8, 6)"
346,2013-01-09,"(426, 352)","(8, 6)"
346,2013-01-10,"(352, 388, 395, 431, 436, 447, 436, 354, 352)","(6, 8, 10, 7, 6)"
346,2013-01-11,"(352, 420, 431, 426, 419, 410, 417, 420, 402, 343, 352)","(6, 8, 7, 8, 7, 6)"
346,2013-01-12,"(352, 343, 431, 420, 352, 292, 210, 70, 85, 127, 332, 343, 352)","(6, 8, 6, 5, 3, 4, 3, 6)"
346,2013-01-13,"(352,)","(6,)"
346,2013-01-14,"(426, 352)","(8, 6)"
346,2013-01-15,"(324, 326, 352, 362, 369, 374, 362, 354, 352)","(6, 7, 6, 7, 6)"
346,2013-01-16,"(420, 426, 431, 420, 389, 368, 362, 352)","(8, 6)"
346,2013-01-17,"(352, 368, 426, 408, 371, 222, 251, 288, 352)","(6, 8, 7, 1, 5, 6)"
346,2013-01-18,"(377, 407, 420, 368, 362, 368, 352)","(8, 6, 8, 6)"
346,2013-01-19,"(426, 406, 377, 368, 352)","(8, 6)"
346,2013-01-20,"(352,)","(6,)"
361,2013-01-07,"(435, 433)","(7,)"
361,2013-01-08,"(433, 435)","(7,)"
361,2013-01-09,"(435, 433)","(7,)"
361,2013-01-10,"(433, 435)","(7,)"
361,2013-01-11,"(433, 435, 433)","(7,)"
361,2013-01-12,"(435, 433, 435, 433, 435, 423, 419, 174, 204, 205, 174, 205)","(7, 3)"
361,2013-01-13,"(433, 435, 433, 435)","(7,)"
361,2013-01-14,"(433,)","(7,)"
361,2013-01-15,"(433, 174, 204, 160, 205, 333, 433)","(7, 3, 7)"
361,2013-01-16,"(433, 435, 203, 80)","(7, 1)"
361,2013-01-17,"(435, 433)","(7,)"
361,2013-01-18,"(435,)","(7,)"
361,2013-01-19,"(435,)","(7,)"
372,2013-01-07,"(400, 395, 388, 395, 400, 395, 398, 400, 398, 395, 398, 400, 398, 400)","(8,)"
372,2013-01-08,"(398,)","(8,)"
372,2013-01-09,"(433, 419, 395, 139, 132, 191, 148, 191, 210, 239, 292, 297, 333, 400)","(7, 8, 4, 3, 4, 3, 5, 6, 7, 8)"
372,2013-01-10,"(400, 395, 400, 395, 400, 398, 400, 398)","(8,)"
372,2013-01-11,"(400, 398, 388, 400)","(8,)"
372,2013-01-12,"(400, 388, 398, 400, 398, 400)","(8,)"
372,2013-01-13,"(28, 24, 16, 344, 343, 395, 400)","(2, 6, 8)"
372,2013-01-14,"(388, 398, 193, 185, 161, 125, 338, 344, 400, 388, 400)","(8, 4, 3, 6, 8)"
372,2013-01-15,"(398, 383, 398, 395, 400, 398, 395, 398, 400, 383, 370, 363, 372, 370, 398, 400, 388)","(8, 5, 8)"
372,2013-01-16,"(398, 371, 319, 232, 85, 140, 400, 398, 400, 396, 407, 400, 388, 400, 396)","(8, 7, 6, 3, 4, 8)"
372,2013-01-17,"(400, 398, 400, 398, 383, 398, 400, 398, 400, 405)","(8,)"
372,2013-01-18,"(400, 388, 398, 400, 398, 407, 403, 400)","(8,)"
372,2013-01-19,"(24,)","(2,)"
372,2013-01-20,"(388, 400, 432, 431, 400, 388, 400)","(8,)"
386,2013-01-07,"(135, 137, 100, 135)","(3, 1, 3)"
386,2013-01-08,"(166, 135, 137)","(3, 1)"
386,2013-01-09,"(135,)","(3,)"
386,2013-01-10,"(429, 135)","(7, 3)"
386,2013-01-11,"(429, 292)","(7, 5)"
386,2013-01-12,"(135, 117, 135)","(3,)"
386,2013-01-14,"(135,)","(3,)"
386,2013-01-15,"(117, 135)","(3,)"
386,2013-01-16,"(121, 137, 162, 137, 135)","(1, 3, 1, 3)"
386,2013-01-17,"(135,)","(3,)"
386,2013-01-18,"(126, 135)","(3,)"
386,2013-01-19,"(162,)","(3,)"
386,2013-01-20,"(135,)","(3,)"
395,2013-01-07,"(83,)","(2,)"
395,2013-01-09,"(223, 245, 223)","(1, 3, 1)"
395,2013-01-10,"(245, 223, 220, 223)","(3, 1)"
395,2013-01-11,"(223, 189, 207, 220)","(1,)"
395,2013-01-12,"(220, 116, 173, 112, 223, 220, 245, 223)","(1, 3, 1)"
395,2013-01-13,"(218, 245, 189)","(1, 3, 1)"
395,2013-01-14,"(220, 223)","(1,)"
395,2013-01-15,"(223, 245, 223)","(1, 3, 1)"
395,2013-01-16,"(223, 245, 220, 245, 223, 218, 223)","(1, 3, 1, 3, 1)"
395,2013-01-17,"(223, 245)","(1, 3)"
395,2013-01-18,"(223, 173, 182)","(1,)"
395,2013-01-19,"(223, 245, 220, 134, 223, 245, 223)","(1, 3, 1, 3, 1)"
395,2013-01-20,"(223,)","(1,)"
399,2013-01-07,"(187, 206, 177, 163, 177, 163, 104, 177)","(3, 4)"
399,2013-01-08,"(204, 187, 206, 204, 206, 256, 204, 256, 206, 187, 206)","(3,)"
399,2013-01-09,"(206, 204, 256, 204, 206, 204, 206, 256, 206, 204, 177)","(3, 4)"
399,2013-01-10,"(163, 204, 256, 206)","(4, 3)"
399,2013-01-11,"(204, 206)","(3,)"
399,2013-01-12,"(256, 204, 170)","(3, 4)"
399,2013-01-13,"(206, 177, 185, 177, 163, 177, 147, 163, 177)","(3, 4)"
399,2013-01-14,"(177, 204, 206, 171, 170, 148, 163, 177, 163, 177, 163)","(4, 3, 4)"
399,2013-01-15,"(206, 256, 204, 187, 8, 256, 206)","(3, 2, 3)"
399,2013-01-16,"(256, 206, 256, 71, 204)","(3, 1, 3)"
399,2013-01-17,"(256, 206)","(3,)"
399,2013-01-18,"(187,)","(3,)"
399,2013-01-19,"(206,)","(3,)"
399,2013-01-20,"(204,)","(3,)"
405,2013-01-07,"(308, 80, 46, 60)","(5, 1, 2, 3)"
405,2013-01-08,"(389, 377, 370, 377)","(8, 5, 8)"
405,2013-01-09,"(377,)","(8,)"
405,2013-01-10,"(370, 366, 362)","(5, 6)"
405,2013-01-11,"(375, 378, 377, 362, 366, 377)","(5, 8, 6, 5, 8)"
405,2013-01-12,"(377, 362, 366, 370, 366, 377, 366, 363)","(8, 6, 5, 8, 5)"
405,2013-01-13,"(377, 366, 377, 366, 362)","(8, 5, 8, 5, 6)"
405,2013-01-14,"(362, 366, 351, 357, 351, 308, 366, 377, 367, 377, 363, 366)","(6, 5, 8, 5)"
405,2013-01-15,"(389, 378, 377, 370, 366, 370, 377)","(8, 5, 8)"
405,2013-01-16,"(378, 366, 377, 375, 363, 366)","(8, 5, 8, 5)"
405,2013-01-17,"(370, 362, 366, 377)","(5, 6, 5, 8)"
405,2013-01-19,"(331, 327, 377, 392)","(5, 6, 8)"
405,2013-01-20,"(362, 367, 362, 377, 367, 377, 367, 377, 378)","(6, 8, 6, 8)"
416,2013-01-07,"(377,)","(8,)"
416,2013-01-08,"(377, 141, 171, 367, 377)","(8, 3, 8)"
416,2013-01-09,"(377, 367, 377)","(8,)"
416,2013-01-10,"(377, 367, 377)","(8,)"
416,2013-01-11,"(377,)","(8,)"
416,2013-01-12,"(377,)","(8,)"
416,2013-01-13,"(367, 377, 375, 141, 127, 141, 127, 141, 317, 318, 377)","(8, 5, 3, 6, 5, 8)"
416,2013-01-14,"(377,)","(8,)"
416,2013-01-15,"(377,)","(8,)"
416,2013-01-16,"(367, 377, 368, 377)","(8,)"
416,2013-01-17,"(377, 143, 156, 173, 183, 141, 114, 264, 377)","(8, 1, 3, 1, 8)"
416,2013-01-18,"(377,)","(8,)"
416,2013-01-19,"(377,)","(8,)"
416,2013-01-20,"(377,)","(8,)"
417,2013-01-07,"(50, 151, 112, 259, 134, 173, 129, 151, 156, 255, 340, 343, 338, 321, 311, 277, 274)","(2, 1, 2, 1, 3, 6, 5, 3)"
417,2013-01-08,"(277, 112, 88, 93, 88, 111, 156, 111, 151, 167, 156, 143, 119, 88, 111, 151, 178, 151, 292, 319, 480, 489, 515, 519, 532, 600, 752)","(5, 1, 5, 6, 10, 12, 22, 33)"
417,2013-01-09,"(936, 1317, 1333, 1374, 1435, 1428, 1435, 1428, 1526, 1519, 1518, 1509, 1453, 1426)","(54, 71, 72, 69, 119, 121)"
417,2013-01-10,"(1426, 1453, 1493)","(121, 119)"
417,2013-01-11,"(1426, 1529)","(121, 123)"
417,2013-01-12,"(1529, 1519, 1518, 1519, 1518, 1529, 1533, 1529, 1532, 1542, 1543, 1541, 1529)","(123, 119, 123, 122, 123)"
417,2013-01-13,"(1529, 1512, 1502, 1498, 1502, 1498, 1494)","(123, 119, 120)"
417,2013-01-14,"(1494, 1484, 1452, 1134, 1364, 1333)","(120, 47, 71)"
417,2013-01-15,"(529, 480, 408, 419, 371, 355, 311, 292, 167, 173, 333, 425, 522, 687, 931, 916)","(20, 10, 7, 6, 5, 1, 7, 8, 12, 33, 54)"
417,2013-01-16,"(151, 129, 112, 111, 156, 151, 277, 274, 156, 178, 129, 173)","(1, 2, 1, 5, 3, 1, 2, 1)"
417,2013-01-17,"(83, 199, 112, 116, 112, 88, 367, 178, 199, 178, 129, 151, 236, 238, 236, 277, 259)","(2, 1, 8, 1, 2, 1, 5, 1)"
417,2013-01-18,"(277, 255, 112, 202, 219, 112, 111, 112, 156, 166, 121)","(5, 3, 1, 4, 1, 3, 1)"
417,2013-01-19,"(151, 112, 80, 112, 173, 167, 116, 112, 93, 272, 288, 272, 299, 288, 367, 299, 296, 236, 112, 277, 309, 240, 278, 302, 281)","(1, 5, 1, 5, 8, 1, 5, 1, 5, 6, 1, 3, 6, 3)"
417,2013-01-20,"(277, 151, 199, 151, 210, 166, 88, 330, 322, 352, 236, 129, 151, 129, 259)","(5, 1, 3, 1, 5, 6, 1, 2, 1, 2, 1)"
429,2013-01-07,"(429,)","(7,)"
429,2013-01-08,"(429,)","(7,)"
429,2013-01-09,"(429,)","(7,)"
429,2013-01-11,"(429, 423, 611, 503, 423)","(7, 14, 11, 7)"
429,2013-01-12,"(419,)","(7,)"
429,2013-01-14,"(423, 319, 255, 191, 429)","(7, 6, 3, 7)"
429,2013-01-15,"(414, 429)","(7,)"
429,2013-01-16,"(415, 419)","(7,)"
429,2013-01-17,"(429, 414, 419, 408, 426, 431)","(7, 8)"
429,2013-01-19,"(429,)","(7,)"
429,2013-01-20,"(429,)","(7,)"
436,2013-01-07,"(167, 238, 251, 218, 167, 173)","(1,)"
436,2013-01-08,"(154, 182, 173, 218, 167, 190, 218, 167)","(1,)"
436,2013-01-09,"(251, 218, 167, 173, 167)","(1,)"
436,2013-01-10,"(173, 167, 173, 167, 173, 167, 134, 167, 173, 167, 173, 167, 134, 167, 173, 167)","(1,)"
436,2013-01-11,"(173, 167, 89, 84, 102, 87, 114, 87, 167)","(1, 2, 3, 2, 3, 2, 1)"
436,2013-01-12,"(167, 156, 264, 240, 176, 178, 167, 116, 167, 173, 167, 134, 167, 173, 167, 173, 167, 173, 167, 173, 167, 173, 167)","(1,)"
436,2013-01-13,"(167, 173, 151, 178, 166, 173, 167, 173, 167, 173, 167, 173, 167)","(1, 3, 1)"
436,2013-01-14,"(167, 173, 167, 173, 167)","(1,)"
436,2013-01-15,"(173, 167, 173, 178, 173, 194, 218, 167, 173, 167)","(1,)"
436,2013-01-16,"(167, 115, 167, 173, 167, 129, 90, 167, 173, 116, 167, 173, 167)","(1, 2, 1, 2, 1)"
436,2013-01-17,"(167, 190, 162, 173, 167, 115, 134, 115, 167, 173, 167, 134, 167)","(1, 3, 1, 2, 1, 2, 1)"
436,2013-01-18,"(173, 167, 173, 167, 173, 167, 173, 167)","(1,)"
436,2013-01-19,"(173, 167, 173, 192, 160, 115, 173, 167, 190, 173, 167, 165, 167, 173, 167, 134, 167, 115, 134, 167, 10, 21, 31)","(1, 3, 2, 1, 4, 1, 2, 1, 2)"
436,2013-01-20,"(167, 173, 204, 257, 167, 173, 416, 411, 416, 173, 167, 218, 173, 167, 173, 167)","(1, 3, 4, 1, 7, 1)"
438,2013-01-07,"(125, 114, 125)","(3,)"
438,2013-01-08,"(497, 522, 489, 443, 125, 106, 125)","(12, 9, 3, 4, 3)"
438,2013-01-09,"(125, 114)","(3,)"
438,2013-01-10,"(125,)","(3,)"
438,2013-01-11,"(125,)","(3,)"
438,2013-01-12,"(125,)","(3,)"
438,2013-01-13,"(125, 127, 125)","(3,)"
438,2013-01-14,"(125,)","(3,)"
438,2013-01-15,"(125,)","(3,)"
438,2013-01-16,"(125,)","(3,)"
438,2013-01-17,"(125, 114, 125)","(3,)"
438,2013-01-18,"(125,)","(3,)"
438,2013-01-19,"(125,)","(3,)"
438,2013-01-20,"(125, 141, 106, 125)","(3, 4, 3)"
462,2013-01-07,"(138, 189)","(1,)"
462,2013-01-08,"(189, 138, 182, 189, 223, 189)","(1,)"
462,2013-01-09,"(138, 189)","(1,)"
462,2013-01-10,"(189, 332, 334, 138, 189)","(1, 6, 1)"
462,2013-01-11,"(189, 305, 292, 255, 189)","(1, 5, 3, 1)"
462,2013-01-12,"(189, 121, 189, 182, 189)","(1,)"
462,2013-01-13,"(189, 190, 189, 178, 194, 190)","(1,)"
462,2013-01-14,"(213, 182)","(1,)"
462,2013-01-15,"(189, 181, 210, 164, 189)","(1, 3, 1)"
462,2013-01-16,"(189,)","(1,)"
462,2013-01-17,"(189, 138, 189)","(1,)"
462,2013-01-18,"(189,)","(1,)"
462,2013-01-19,"(189,)","(1,)"
462,2013-01-20,"(189,)","(1,)"
469,2013-01-07,"(185, 177, 185, 163, 185, 243, 226, 227, 235, 163, 185, 163, 185)","(4,)"
469,2013-01-08,"(185, 163, 185, 177, 185, 243, 185, 177, 185, 200, 163, 271, 200, 185, 163)","(4,)"
469,2013-01-09,"(185, 179, 185, 163, 243, 242, 243, 253, 177, 185, 163, 185, 163, 177)","(4,)"
469,2013-01-10,"(177, 185, 177, 185, 163, 177, 163, 185)","(4,)"
469,2013-01-11,"(185, 177, 185, 32, 47, 32, 77, 185, 163, 185, 163, 185, 177, 185, 177)","(4, 2, 4, 2, 4)"
469,2013-01-12,"(185,)","(4,)"
469,2013-01-13,"(185, 163, 185)","(4,)"
469,2013-01-14,"(185, 177, 185, 163, 177, 185, 163, 177, 185, 177, 163, 185, 177, 185)","(4,)"
469,2013-01-15,"(185, 161, 148, 32, 85, 140, 185, 163, 177, 163, 177, 163, 177, 185, 163, 177, 185, 163, 177, 185)","(4, 2, 4)"
469,2013-01-16,"(185, 177, 185, 243, 226, 163, 185, 247, 257, 227, 177, 185, 163, 185, 177, 163)","(4,)"
469,2013-01-17,"(185, 32, 94, 32, 163, 185, 228, 185, 32, 163, 32, 185, 202, 141, 72, 57, 72, 127, 72, 185)","(4, 2, 4, 2, 4, 2, 4, 2, 4, 3, 4)"
469,2013-01-18,"(185, 177, 185, 147, 163, 177, 185, 163, 32, 130, 185, 177, 228, 177, 185, 163)","(4, 2, 4)"
469,2013-01-19,"(163, 185, 177, 163, 185, 177, 185, 163, 185, 163, 177, 185, 163, 177, 185, 228, 185, 140, 110, 12)","(4, 2)"
469,2013-01-20,"(163, 185, 163, 177, 185, 141)","(4, 3)"
471,2013-01-07,"(141, 131, 159, 141, 159, 141, 159, 150, 200, 150, 200, 157)","(3, 4, 3)"
471,2013-01-08,"(157, 171, 157, 159, 157)","(3,)"
471,2013-01-09,"(157, 159, 157, 159, 157)","(3,)"
471,2013-01-10,"(157, 159, 191, 157)","(3,)"
471,2013-01-11,"(131, 157, 174, 324, 330, 367)","(3, 6, 5, 8)"
471,2013-01-12,"(330, 335, 330, 292, 159, 141, 157)","(5, 6, 5, 3)"
471,2013-01-13,"(141, 159, 141, 159, 157)","(3,)"
471,2013-01-14,"(159, 141, 159, 141, 159, 171, 159, 171, 157, 159, 157, 159, 157, 159, 157)","(3,)"
471,2013-01-15,"(159, 157)","(3,)"
471,2013-01-16,"(157, 131, 157, 171, 202, 157, 159)","(3, 4, 3)"
471,2013-01-17,"(157, 171, 157)","(3,)"
471,2013-01-18,"(157, 159, 157, 330)","(3, 5)"
471,2013-01-19,"(330, 367, 330)","(5, 8, 5)"
471,2013-01-20,"(159, 157, 159, 157, 159, 157)","(3,)"
473,2013-01-07,"(57,)","(3,)"
473,2013-01-08,"(72, 200, 341)","(3, 4, 5)"
473,2013-01-09,"(57, 48, 341)","(3, 2, 5)"
473,2013-01-10,"(57, 48, 57)","(3, 2, 3)"
473,2013-01-11,"(341,)","(5,)"
473,2013-01-13,"(331, 341)","(5,)"
473,2013-01-15,"(196, 298, 341)","(1, 5)"
473,2013-01-16,"(331, 196)","(5, 1)"
473,2013-01-17,"(48, 169, 341)","(2, 1, 5)"
473,2013-01-18,"(48, 57, 48, 307, 341)","(2, 3, 2, 5)"
473,2013-01-19,"(57, 48, 238, 288, 303)","(3, 2, 1, 5)"
473,2013-01-20,"(341,)","(5,)"
487,2013-01-07,"(265, 289, 265, 289, 127)","(3,)"
487,2013-01-08,"(265, 252, 289)","(3,)"
487,2013-01-09,"(237, 252, 265, 289, 135, 141, 127)","(3,)"
487,2013-01-10,"(252, 265, 289, 252, 289)","(3,)"
487,2013-01-11,"(289,)","(3,)"
487,2013-01-12,"(289, 127)","(3,)"
487,2013-01-13,"(289,)","(3,)"
487,2013-01-15,"(289, 127, 141, 127)","(3,)"
487,2013-01-16,"(289,)","(3,)"
487,2013-01-17,"(289, 252, 265, 289, 127)","(3,)"
487,2013-01-18,"(289,)","(3,)"
487,2013-01-19,"(289, 127)","(3,)"
487,2013-01-20,"(191, 127, 141, 127)","(3,)"
490,2013-01-07,"(585, 1653, 585, 1653, 585, 1653, 585, 1653, 585, 559, 538, 503, 461, 465, 154, 190)","(15, 102, 15, 102, 15, 102, 15, 102, 15, 19, 11, 9, 1)"
490,2013-01-08,"(137, 154, 76, 114, 189, 173)","(1, 2, 3, 1)"
490,2013-01-09,"(117, 114, 127, 114, 127, 114, 164, 190, 173, 190, 156, 154)","(3, 1)"
490,2013-01-10,"(156, 173, 189, 58, 52, 181, 166, 213, 117, 137, 114, 84, 102, 84, 106, 102, 84, 155, 201, 173, 164, 190, 156, 164, 190, 164)","(1, 3, 2, 3, 1, 3, 1, 3, 2, 3, 2, 4, 3, 2, 4, 1)"
490,2013-01-11,"(88, 232, 181, 182, 76, 81, 114, 190, 182)","(1, 3, 1, 2, 3, 1)"
490,2013-01-12,"(164, 114, 190)","(1, 3, 1)"
490,2013-01-13,"(156, 164, 189, 173, 164, 173)","(1,)"
490,2013-01-14,"(164, 136, 355, 114, 106, 70, 84, 106, 114, 144, 182, 164, 190, 156, 173)","(1, 6, 3, 4, 2, 4, 3, 1)"
490,2013-01-15,"(136, 154, 213, 154, 71, 112, 121, 114, 164, 189, 190, 156, 190, 164, 190, 164, 173)","(1, 3, 1)"
490,2013-01-16,"(164, 100, 184, 88, 157, 119, 189, 190, 472, 475, 541, 585, 1653, 585, 1653, 585, 154, 121, 173)","(1, 3, 1, 3, 1, 10, 19, 15, 102, 15, 102, 15, 1)"
490,2013-01-17,"(143, 89, 131, 119, 116, 78, 84, 114, 156, 164, 190)","(1, 2, 3, 1, 2, 3, 1)"
490,2013-01-18,"(189, 74, 92, 89, 144, 157, 232, 114, 84, 114, 190, 164, 190)","(1, 2, 3, 2, 3, 2, 3, 1)"
490,2013-01-19,"(173, 126, 142, 106, 127, 142, 12, 138)","(1, 3, 4, 3, 2, 1)"
490,2013-01-20,"(87, 76, 87, 609, 480, 81, 117, 89, 76, 154, 46, 154, 164, 190, 164)","(2, 15, 10, 2, 3, 2, 1, 2, 1)"
492,2013-01-07,"(381, 265)","(8, 3)"
492,2013-01-08,"(377, 381, 232, 265)","(8, 3)"
492,2013-01-09,"(381, 388, 381, 377)","(8,)"
492,2013-01-10,"(381, 388, 381, 388)","(8,)"
492,2013-01-11,"(881,)","(95,)"
492,2013-01-12,"(881,)","(95,)"
492,2013-01-13,"(881,)","(95,)"
492,2013-01-14,"(881,)","(95,)"
492,2013-01-15,"(881,)","(95,)"
492,2013-01-16,"(881,)","(95,)"
492,2013-01-17,"(881,)","(95,)"
492,2013-01-18,"(881,)","(95,)"
492,2013-01-19,"(881,)","(95,)"
492,2013-01-20,"(881,)","(95,)"
500,2013-01-07,"(279, 298, 288, 279)","(1, 5, 1)"
